"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"RC2512FK-07150RL","R 2512","–езистор 150 ќм ± 1% 1¬т SMD 2512 RC2512FK-07150RL "Yageo"","150","*","R?","–езистор 150 ќм ± 1% 1¬т SMD 2512 RC2512FK-07150RL "Yageo""
"RC2512FK-0727RL","R 2512","–езистор 27 ќм ± 1% 1¬т SMD 2512 RC2512FK-0727RL "Yageo"","27","*","R?","–езистор 27 ќм ± 1% 1¬т SMD 2512 RC2512FK-0727RL "Yageo""
"RC2512FK-073R3L","SMD 2512","–езистор 3.3 ќм ± 1% 1¬т SMD 2512 RC2512FK-073R3L "Yageo"","3.3","*","R?","–езистор 3.3 ќм ± 1% 1¬т SMD 2512 RC2512FK-073R3L "Yageo""
"RC2512FK-7W12RL","R2512","–езистор 12 ќм ± 1% 2¬т SMD 2512 RC2512FK-7W12RL "Yageo"","12","*","R?","–езистор 12 ќм ± 1% 2¬т SMD 2512 RC2512FK-7W12RL "Yageo""
"RL2512FK-070R2L","R2512","–езистор 0.2 ќм ± 1% 1¬т SMD 2512 RL2512FK-070R2L "Yageo"","0.2","*","R?","–езистор 0.2 ќм ± 1% 1¬т SMD 2512 RL2512FK-070R2L "Yageo""
"V47ZA20P","Varistor 20mm","¬аристор DC-38¬, AC-30¬ 2кј 23ƒж  AXIAL V47ZA20P "Littelfuse"","V47ZA20P","*","VR?","¬аристор DC-38¬, AC-30¬ 2кј 23ƒж  AXIAL V47ZA20P "Littelfuse""
"YC158TJR-0710KL","сборка R 8 штук","—борка резистивна€ 10 кќм ± 5% 8 резисторов 62,5м¬т SMD YC158TJR-0710KL "Yageo"","8х10 кќм","*","R?","—борка резистивна€ 10 кќм ± 5% 8 резисторов 62,5м¬т SMD YC158TJR-0710KL "Yageo""
"YC164-FR-0710KL","сборка   4шт YC164","—борка резистивна€ 10 кќм ± 1% 4 резисторов 62,5м¬т SMD YC164-FR-0710KL "Yageo"","4х10 кќм","*","R?","—борка резистивна€ 10 кќм ± 1% 4 резисторов 62,5м¬т SMD YC164-FR-0710KL "Yageo""
"YC164-JR-071KL","сборка   4шт YC164","—борка резистивна€ 1 кќм ± 5% 4 резистора 62,5м¬т SMD YC164-JR-071KL "Yageo"","4х1кќм","*","R?","—борка резистивна€ 1 кќм ± 5% 4 резистора 62,5м¬т SMD YC164-JR-071KL "Yageo""
"YC164-JR-072KL","сборка   4шт YC164","—борка резистивна€ 2 кќм ± 5% 4 резисторов 62,5м¬т SMD YC164-JR-072KL "Yageo"","4х2 кќм","*","R?","—борка резистивна€ 2 кќм ± 5% 4 резисторов 62,5м¬т SMD YC164-JR-072KL "Yageo""
"YC164-JR-0730RL","сборка   4шт YC164","—борка резистивна€ 30 ќм ± 5% 4 резисторов 62,5м¬т SMD YC164-JR-0730RL "Yageo"","4х30 ќм","*","R?","—борка резистивна€ 30 ќм ± 5% 4 резисторов 62,5м¬т SMD YC164-JR-0730RL "Yageo""
"YC164-JR-07510RL","сборка   4шт YC164","—борка резистивна€ 510 ќм ± 5% 4 резисторов 62,5м¬т SMD YC164-JR-07510RL "Yageo"","4х510 ќм","*","R?","—борка резистивна€ 510 ќм ± 5% 4 резисторов 62,5м¬т SMD YC164-JR-07510RL "Yageo""
"YC164-JR-075K1L","сборка   4шт YC164","—борка резистивна€ 5.1 кќм ± 5% 4 резистора 62,5м¬т SMD YC164-JR-075K1L "Yageo"","4х5,1кќм","*","R?","—борка резистивна€ 5.1 кќм ± 5% 4 резистора 62,5м¬т SMD YC164-JR-075K1L "Yageo""
"YC248-JR-07100RL","сборка R 8 штук","—борка резистивна€ 100 ќм ± 5% 8 резисторов 62,5м¬т SMD YC248-JR-07100RL "Yageo"","8х100 ќм","*","R?","—борка резистивна€ 100 ќм ± 5% 8 резисторов 62,5м¬т SMD YC248-JR-07100RL "Yageo""
"YC248-JR-071KL","сборка R 8 штук","—борка резистивна€ 1 кќм ± 5% 8 резисторов 62,5м¬т SMD YC248-JR-071KL "Yageo"","8х1 кќм","*","R?","—борка резистивна€ 1 кќм ± 5% 8 резисторов 62,5м¬т SMD YC248-JR-071KL "Yageo""
"YC248-JR-0733KL","сборка R 8 штук","—борка резистивна€ 33 кќм ± 5% 8 резисторов 62,5м¬т SMD YC248-JR-0733KL "Yageo"","8х33 кќм","*","R?","—борка резистивна€ 33 кќм ± 5% 8 резисторов 62,5м¬т SMD YC248-JR-0733KL "Yageo""
